"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pctg_milik_sendiri","pctg_kontrak","pctg_bebas_sewa","pctg_dinas","pctg_cuci_tangan_Air Kemasan
Bermerk","pctg_cuci_tangan_Air Isi Ulang","pctg_cuci_tangan_Leding","pctg_cuci_tangan_Sumur Bor/
Pompa","pctg_cuci_tangan_Sumur Terlindung","pctg_cuci_tangan_Sumur Tak Terlindung","pctg_Mata Air Terlindung","pctg_cuci_tangan_Mata Air Tak Terlindung","pctg_cuci_tangan_Air Permukaan (Sungai/ Danau/ Waduk/ Kolam/
Irigasi)","pctg_cuci_tangan_Air Hujan","pctg_air_minum_layak","pctg_listrik_pln","pctg_rumah_layak_huni","pctg_rumah_kumuh","rata_rata_pengeluaran_sewa_perkapita_per_bulan","rata_rata_pengeluaran_listrik_perkapita_per_bulan","rata_rata_pengeluaran_air_perkapita_per_bulan","rata_rata_pengeluaran_bahan_bakar_perkapita_per_bulan","rata_rata_pengeluaran_gas_perkapita_per_bulan","proporsi_pengeluaran_rumah","proporsi_pengeluaran_listrik","proporsi_pengeluaran_air"
"Sulawesi Utara","79.47","2.73","17.11","0.69","7.76","43.64","9.37","8.83","13.36","1.94","12.48","1.28","NA","1","37.1","99.39","72.39","4.17","3560","31531","5571","17079","13223","0.27","2.4","0.42"
"Sulawesi Tengah","88.44","3.39","7.28","0.83","0.63","43.56","7.76","12.94","6.81","1.61","18.15","2.25","5.75","0.42","36.95","95.86","59.6","8.38","5926","25751","2427","20558","13605","0.5","2.19","0.21"
"Sulawesi Selatan","87.68","2.2","9.64","0.28","1.83","36.39","13.55","18.75","12.73","2.06","9.99","2.12","0.88","1.64","45.07","97.63","71.88","3.97","2754","34669","6619","16799","1475","0.22","2.77","0.53"
"Sulawesi Tenggara","90.54","2.16","6.97","0.34","1.05","40.67","10.97","14.19","14.87","1.47","12.56","1.22","0.43","2.56","44.58","97.61","74.01","4.32","2254","27943","4206","20198","11961","0.19","2.38","0.36"
"Gorontalo","85.14","0.87","13.63","0.36","1.63","61.01","7.6","11.83","12.09","1.63","3.67","NA","NA","NA","26.66","98.46","70.75","5.28","NA","28281","5525","16103","13290","0.16","2.3","0.45"
"Sulawesi Barat","93.35","0.95","4.55","1.16","0.33","28.23","6.68","15.34","17.68","3.97","13.57","6.01","7.97","0.23","35.49","94.67","59.28","8.2","NA","22707","2553","17172","12390","0.16","2.19","0.25"
"Maluku","84.69","3.14","10.9","1.24","0.28","24.32","10.1","8.84","19.61","2.76","28.53","1.5","1.15","2.8","39.85","93.26","63.61","8.02","5680","27715","5909","23471","671","0.46","2.24","0.48"
"Maluku Utara","90.26","1.96","6.96","0.81","0.24","25.03","21.07","4.32","23.2","3.33","13.41","2.57","2.57","4.26","45.42","91.58","68.17","6.07","3270","28283","6783","27401","983","0.25","2.15","0.51"
"Papua Barat","82.94","7","7.68","2.36","2.41","39.08","3.86","3.88","10.77","3.64","12.08","4.04","6.23","14","30.72","83.2","56.92","6.45","16793","41172","2563","26553","2544","1.05","2.58","0.16"
"Papua","85.31","6.41","5.22","2.88","3.02","27.2","3.72","1.79","2.84","3.57","14.19","20.19","2.98","20.42","25.86","47.07","29.01","37.98","21093","29124","3445","51444","2228","1.4","1.93","0.23"
